id,user_id,active,balance,created_at,updated_at,debt
2026,74ba14be-bf0b-46ab-b310-7a3fbb0d8b1f,1,0,2022-11-19 22:02:53.413+00,2022-12-01 01:35:08.707+00,0
586,9eae8843-1efa-40f8-a79e-df0275424ff8,1,0,2022-08-31 18:10:08.684+00,2022-12-01 01:35:00.32+00,0
607,7d8f3226-3efb-4e89-a6e7-979dbf66320f,1,0,2022-08-31 18:10:10.333+00,2022-12-01 01:35:00.501+00,0
608,a8807a32-b941-4dc3-a35d-8737d7f783a2,1,0,2022-08-31 18:10:10.403+00,2022-12-01 01:35:00.506+00,0
609,41f4d585-081f-4728-be25-70e28d1bc646,1,0,2022-08-31 18:10:10.475+00,2022-12-01 01:35:00.51+00,0
610,53bf1d1e-b4e7-4f9f-b93a-ee05a1f5ced5,1,0,2022-08-31 18:10:10.546+00,2022-12-01 01:35:00.52+00,0
611,60576a2f-eebf-467f-8f84-2d7f2969554e,1,0,2022-08-31 18:10:10.614+00,2022-12-01 01:35:00.53+00,0
612,d27db229-9f47-443f-be06-dc2cf07de722,1,0,2022-08-31 18:10:10.684+00,2022-12-01 01:35:00.535+00,0
613,a72243ac-c117-4701-88b1-c0784de02c73,1,0,2022-08-31 18:10:10.754+00,2022-12-01 01:35:00.539+00,0
614,72a34e48-6dba-4e22-98b6-f14c4fdf916b,1,0,2022-08-31 18:10:10.824+00,2022-12-01 01:35:00.563+00,0
628,674ce408-0835-4044-b646-2a2de2798d90,1,0,2022-08-31 18:10:12.042+00,2022-12-01 01:35:00.628+00,0
629,34f42439-6516-4896-961c-e9f960b601e5,1,0,2022-08-31 18:10:12.111+00,2022-12-01 01:35:00.631+00,0
641,f0aeba83-63b6-49ff-9d20-9598f351fb19,1,0,2022-08-31 18:10:13.001+00,2022-12-01 01:35:00.704+00,0
642,f86865cb-d6bb-42c3-9c23-e060eb6f758e,1,0,2022-08-31 18:10:13.07+00,2022-12-01 01:35:00.708+00,0
643,845af8b9-2048-490b-a82b-212021b1c290,1,0,2022-08-31 18:10:13.139+00,2022-12-01 01:35:00.712+00,0
651,65c86c41-b01f-4d7a-8851-d5f40aa7796d,1,0,2022-08-31 18:10:13.696+00,2022-12-01 01:35:00.742+00,0
652,b8f9ca26-11c6-4c31-9e9f-becfae12d2dd,1,0,2022-08-31 18:10:13.765+00,2022-12-01 01:35:00.745+00,0
653,d5e29c04-47f6-4b1e-9cd5-29b78773e306,1,0,2022-08-31 18:10:13.834+00,2022-12-01 01:35:00.749+00,0
654,96548a92-ea00-465c-911d-611a070746d6,1,0,2022-08-31 18:10:13.906+00,2022-12-01 01:35:00.753+00,0
655,3e2644e5-4a77-4f27-a72b-5a9c0ceedee9,1,0,2022-08-31 18:10:13.977+00,2022-12-01 01:35:00.757+00,0
2031,9b5cbd4c-d983-42b2-9b07-a61c172c2bfe,1,0,2022-12-01 04:23:49.407+00,2022-12-01 04:23:49.407+00,0
2034,7b52f7bf-8506-4bb3-a643-83c917d49a5c,1,0,2022-12-06 16:12:40.385+00,2022-12-06 16:12:40.385+00,0
1615,89824886-f929-4af0-9495-9c13e224ba3b,1,12.70816,2022-08-31 18:11:42.682+00,2022-12-16 08:11:21.194+00,0
1689,c6dbad77-ea99-48f0-a4f5-28fe33856cb1,1,30.194125475390003,2022-08-31 18:11:48.965+00,2023-01-01 05:18:49.962+00,0
656,9f3e12ce-5448-48c7-9e90-8f5a9076aa3b,1,0,2022-08-31 18:10:14.047+00,2022-12-01 01:35:00.76+00,0
657,4a20f232-d7e8-464f-a3c6-c165c19e410a,1,0,2022-08-31 18:10:14.123+00,2022-12-01 01:35:00.764+00,0
658,399dea60-a421-4956-b3b4-3a9a005dd915,1,0,2022-08-31 18:10:14.197+00,2022-12-01 01:35:00.767+00,0
659,eb46aca4-2a32-4b2f-b786-761beba3f1b8,1,0,2022-08-31 18:10:14.481+00,2022-12-01 01:35:00.771+00,0
